Published Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Ending: 04/18/2026        Panel: Mediabase - Published Smooth AC Panel        Format: Smooth Jazz        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Wks On,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,
,LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,Smooth Jazz,Big Picture
10,12,10,,ROBERTO RESTUCCIA,Smooth Commodity,Trippin N Rhythm,8,164,168,-4,34,30,40,24,36,0.152,0.141,0.011,10,10,13,0,13,12.6,12.9,-0.3,11,130,11,94,10,-
11,14,11,Yes,NAJEE,Catch A Feelin' f/Will Downing,Blue Horn Creative,5,162,146,16,31,26,45,27,33,0.152,0.135,0.017,9,12,12,0,12,13.5,12.2,1.3,10,131,10,98,11,-
12,13,12,Yes,CINDY BRADLEY,Night Flight,Trippin 'N' Rhythm,9,157,157,0,36,28,33,26,34,0.123,0.131,-0.008,14,14,13,0,13,12.1,12.1,0,12,121,12,87,12,-
13,15,13,Yes,SKINNY HIGHTOWER,Red Lights,CastOver,6,154,142,12,35,22,37,28,32,0.128,0.139,-0.011,13,11,13,0,13,11.8,10.9,0.9,13,119,13,87,13,-
6,10,14,,LINDSEY WEBSTER,Music In Me,Shanachie,11,148,173,-25,36,26,31,24,31,0.117,0.158,-0.041,15,5,13,1,13,11.4,13.3,-1.9,14,112,14,81,14,-
15,27,15,Yes,KIM WATERS,Sax You Up,Shanachie,4,131,104,27,32,28,25,26,20,0.137,0.102,0.035,11,19,12,1,12,10.9,8.7,2.3,15,99,15,79,15,-
16,19,16,Yes,BLAKE AARON,The Upside,Innervision,5,124,123,1,38,17,30,18,21,0.128,0.117,0.011,12,15,13,1,13,9.5,9.5,0.1,20,86,18,65,16,-
17,28,17,Yes,ADAM HAWLEY,Electric f/Everette Harp,MBF Ent,3,119,103,16,22,25,25,19,28,0.096,0.099,-0.003,19,22,12,1,12,9.2,7.9,1.2,16,97,17,69,17,-
18,23,18,Yes,LAWSON ROLLINS,Sunset Glow,Infinita,2,117,108,9,24,22,26,22,23,0.111,0.088,0.023,16,25,12,0,12,9.8,9,0.8,17,93,16,70,18,-
19,20,19,,MICHAEL MANI,Night Shift,Baja/TSR,4,115,119,-4,31,20,23,17,24,0.098,0.117,-0.019,17,16,12,0,12,9.6,9.9,-0.3,21,84,21,60,19,-
20,21,20,,KIM SCOTT,Hide & Seek,Innervision,5,114,118,-4,34,17,23,20,20,0.097,0.109,-0.012,18,18,12,0,12,9.5,9.8,-0.3,24,80,22,60,20,-
21,24,21,Yes,PAUL BROWN,So Much To Say,Shanachie,5,113,108,5,26,21,24,18,24,0.081,0.084,-0.003,32,26,11,1,11,10.3,9.8,0.5,18,87,19,63,21,-
1,16,22,,BYRON MILLER,Any Time Any Place,Independent,18,112,126,-14,26,17,24,19,26,0.034,0.047,-0.013,83,50,11,1,11,8.6,9.7,-1.1,19,86,23,60,22,-
23,31,23,Yes,DAVID BENOIT & JEFF LORBER,Boarding Pass,SRG Jazz,2,107,100,7,27,16,25,18,21,0.091,0.094,-0.003,25,24,11,1,11,9.7,9.1,0.6,22,80,24,59,23,-
24,30,24,Yes,JIMMY B.,Keep It Moving,WKM,3,105,102,3,33,16,19,22,15,0.096,0.1,-0.004,20,21,12,0,12,8.8,8.5,0.3,28,72,26,57,24,-
25,29,25,Yes,LIN ROUNTREE,Flow f/Big Mike Hart,Trippin 'N' Rhythm,2,105,102,3,25,15,27,19,19,0.092,0.097,-0.005,24,23,12,1,12,8.1,7.8,0.2,23,80,20,61,25,-
26,33,26,Yes,DOWN TO THE BONE,UMPH!,Trippin 'N' Rhythm,1,99,96,3,24,18,19,16,22,0.094,0.1,-0.006,22,20,11,0,11,9,8.7,0.3,26,75,28,53,26,-
